1181k  1.70.35.224:8082
1169k  1.70.35.224:8084
1162k  1.70.35.224:8083
1136k  1.70.35.224:8085
1052k  110.178.77.222:8083
1041k  110.178.77.222:8082
1032k  110.178.77.222:8084
988k  223.10.39.207:8082
904k  223.10.115.195:8082
812k  1.70.34.117:8083
747k  1.70.32.90:8083
633k  110.178.52.75:8085
626k  1.70.34.117:8082
620k  1.70.32.90:8085
610k  110.178.52.75:8082
609k  1.70.32.90:8082
550k  110.178.52.75:8084
538k  110.178.53.35:8082
513k  1.70.34.117:8085
489k  110.178.53.35:8084
487k  1.70.34.117:8084
467k  110.178.52.75:8083
416k  110.178.53.35:8085
414k  1.70.32.90:8084
367k  110.178.53.35:8083
255k  1.70.34.16:8082
