1140k  123.113.237.36:8012
1101k  imzbpfrp.zzmd.fun:8888
1071k  114.254.80.122:2222
1045k  bplwberp.zzmd.fun:8888
1045k  123.113.236.69:8012
1045k  123.113.108.49:4022
1038k  123.114.101.199:4022
993k  123.113.107.131:4022
960k  cn.zzmd.fun:8888
913k  114.243.99.53:4000
873k  sweetown.fun:4000
809k  111.196.186.191:5555
